Id,Name,Theme,PointOfView,Type,Criterion
1,TEAM-1-1,チーム,メトリクスの計測,チーム構成と権限委譲,システムを開発する１チームの構成人数は、3人以上10人以下か。（ピザ2枚ルール）
2,TEAM-1-2,チーム,学習と改善,チーム構成と権限委譲,ある特定の人物に属人化した仕事を洗い出し、減らしていく仕組みがチームにあるか。
3,TEAM-1-3,チーム,プラクティス,チーム構成と権限委譲,チームとチームメンバーの権限について、RACI図やデリゲーションポーカーなどによって、可視化され共有されているか。
4,TEAM-1-4,チーム,プラクティス,チーム構成と権限委譲,チームは価値提供をするのに必要な全職能のメンバーで構成されているか。(フィーチャーチーム)
5,TEAM-1-5,チーム,プラクティス,チーム構成と権限委譲,チームおよびチームリーダーは、チームのミッションのために必要な外部のリソースを調達するための予算や権限をもっているか。
6,TEAM-1-6,チーム,アンチパターン,チーム構成と権限委譲,チームという単位は存在するが、メンバーのそれぞれのやっている仕事の内容をよく知らないし、代わりにやることもできない。
7,TEAM-1-7,チーム,アンチパターン,チーム構成と権限委譲,チームリーダーが複数のチームやプロジェクトを兼務しており、自チームのためにすべての時間を使うことができない。
8,TEAM-1-8,チーム,アンチパターン,チーム構成と権限委譲,チームリーダーがメンバーに権限委譲できておらず、ボトルネックになっている。
9,TEAM-2-1,チーム,メトリクスの計測,チームビルディング,チームは少なくとも半年以上継続して存在しているか。
10,TEAM-2-2,チーム,学習と改善,チームビルディング,チームは月に一度以上の頻度で仕事のふりかえりをおこなっており、その際にプロジェクト憲章またはインセプションデッキを見返して目的を再確認しているか。
11,TEAM-2-3,チーム,プラクティス,チームビルディング,インセプションデッキまたはプロジェクト憲章を作成し、チームの存在理由についてチーム全員が把握しているか。
12,TEAM-2-4,チーム,プラクティス,チームビルディング,新しくチームに参画するメンバー用のオンボーディング・デック（チームの一員として働き始めるための、価値観・実務・スキル・相互理解のための明文化されたドキュメント集）が存在するか。
13,TEAM-2-5,チーム,プラクティス,チームビルディング,チームメンバー全員で定期的にカジュアルにコミュニケーションをとる場がある（ランチ、ディナー、レクレーション等）
14,TEAM-2-6,チーム,アンチパターン,チームビルディング,オンボーディングプログラムが、文章を読むだけのものになっており、ハンズオンやミッション理解の伴わない形骸化したものになっている。
15,TEAM-2-7,チーム,アンチパターン,チームビルディング,1年以上チームのやることが変わっておらず、チームメンバーも固定されている。
16,TEAM-2-8,チーム,アンチパターン,チームビルディング,チーム内でチームミッションの改善に関係する議論がどんな理由であれ発生していない。
17,TEAM-3-1,チーム,メトリクスの計測,心理的安全性,チームメンバーの心理的安全性を測る指標があり、定期的に計測しているか。
18,TEAM-3-2,チーム,学習と改善,心理的安全性,1on1や、落ち着いた場面でのカジュアルな雑談を含む直接業務に関わらないキャリアやタスクの壁打ちを、月に1度程度は実施しているか。
19,TEAM-3-3,チーム,プラクティス,心理的安全性,チームメンバーの行動/発言を明示的に承認行為をおこなう習慣があるか。（成果ではなく行動したこと自体に対して、拍手する・感謝を述べるなど）
20,TEAM-3-4,チーム,プラクティス,心理的安全性,チームメンバー間で挨拶をしたり、雑談をする習慣はあるか。
21,TEAM-3-5,チーム,プラクティス,心理的安全性,チームの不安や不満などを可視化し、吸い上げるための仕組みを持っているか。
22,TEAM-3-6,チーム,アンチパターン,心理的安全性,ミッションや共通のゴール設定をしないまま意見を集め、課題のためというよりも個人のための意見しか出てこない状況になっている。
23,TEAM-3-7,チーム,アンチパターン,心理的安全性,心理的安全性を仲の良さと捉えて、事業のための意見ではなく、仲良くすることが目的化しているため、意見を封殺してしまう。
24,TEAM-3-8,チーム,アンチパターン,心理的安全性,事業目標や納期目標に対して、威圧的なマネジメントや権威的な命令を繰り返したことで、意見が出てこない状況になっている。
25,TEAM-4-1,チーム,メトリクスの計測,タスクマネジメント,アイデアレベルの要望や構想から、要件に落ちるまでのリードタイムは計測されているか。
26,TEAM-4-2,チーム,学習と改善,タスクマネジメント,仕事を始めるための定義と、完了するための定義はチームやステークホルダーで定期的に見直されているか。
27,TEAM-4-3,チーム,プラクティス,タスクマネジメント,上長やステークホルダーを含め、共通のタスク管理ツールを利用しており、プロジェクトの状況を可視化したダッシュボードに常にアクセス可能か。
28,TEAM-4-4,チーム,プラクティス,タスクマネジメント,チームが仕事を始めるために必要な課題やタスクの粒度について、明文化されたフォーマットが存在するか。
29,TEAM-4-5,チーム,プラクティス,タスクマネジメント,チームのタスクに関して、「完成(完了)の定義(Definition of DONE)」が存在するか。
30,TEAM-4-6,チーム,アンチパターン,タスクマネジメント,他部署からの依頼が明確なタスクツールではなく、担当者へのダイレクトメール/メッセージ/口頭など透明性のない形で行われている。
31,TEAM-4-7,チーム,アンチパターン,タスクマネジメント,どのチームタスクであるかが曖昧なとき、ボールが落ちないようにするための仕組みや文化が存在しない。
32,TEAM-4-8,チーム,アンチパターン,タスクマネジメント,どのチームタスクであるか曖昧な仕事が発生したあとに、事後検証（ポストモーテム）が行われず都度話し合いで解決している。
33,TEAM-5-1,チーム,メトリクスの計測,透明性ある目標管理,１年後などのチームとプロダクトの目指す姿が、言語化され、いくつかの計測可能な指標により明晰化されているか。
34,TEAM-5-2,チーム,学習と改善,透明性ある目標管理,仮説的な目標に対して、うまくいかなかった際にチームとして「学んだこと」を言語化・他チームへ公開・学習しているか。
35,TEAM-5-3,チーム,プラクティス,透明性ある目標管理,四半期にフォーカスすべき目標が言語化され、いくつかの計測可能な指標によって明晰化されているか。
36,TEAM-5-4,チーム,プラクティス,透明性ある目標管理,フォーカスすべき目標に対して、どのようにアプローチするのかの計画をチームで共有しているか。
37,TEAM-5-5,チーム,プラクティス,透明性ある目標管理,ビジネス上、重要なマイルストーンとそのスケジュールをチームで常に共有し、その進捗を確認しているか。
38,TEAM-5-6,チーム,アンチパターン,透明性ある目標管理,目標管理が強く評価制度に結びついているため、ストレッチしたゴール設定をすることが難しくなっている。
39,TEAM-5-7,チーム,アンチパターン,透明性ある目標管理,目標項目の一部に、その達成手段が健全に行われているかをチェックするための目標(健全化指標)を立てていない。
40,TEAM-5-8,チーム,アンチパターン,透明性ある目標管理,目標が定量的でなく、第三者からみて達成度合いが不明確なものになっている。
41,TEAM-6-1,チーム,メトリクスの計測,経験主義的な見積りと計画,チームのベロシティを把握しており、その分散値の変化を計測しているか。
42,TEAM-6-2,チーム,学習と改善,経験主義的な見積りと計画,見積りと実績の履歴を元に、見積りの精度を向上させるための方法について定期的な学習/ふりかえりを行なっているか。
43,TEAM-6-3,チーム,プラクティス,経験主義的な見積りと計画,見積りは、実際にその仕事を行う本人を含むチームの複数人で行われているか。
44,TEAM-6-4,チーム,プラクティス,経験主義的な見積りと計画,スケジュールがクリティカルな場合には当初から精密に、仮説検証や価値がクリティカルな場合には荒い粒度から段階的に詳細化するなどして、状況に応じて見積りや計画の方法を変えているか。
45,TEAM-6-5,チーム,プラクティス,経験主義的な見積りと計画,相対見積もりの基準となる要件（ユーザーストーリー）が存在し、定期的にアップデートしているか。
46,TEAM-6-6,チーム,アンチパターン,経験主義的な見積りと計画,スケジュールのバッファ（緩衝期間）が全体計画に対して1/4以下しかもうけていない。
47,TEAM-6-7,チーム,アンチパターン,経験主義的な見積りと計画,機能要件のバッファ(緩衝機能)を全体計画に対して設けられていない。(「必須な機能」と「あったらよい機能」が分類されず、曖昧になっている。)
48,TEAM-6-8,チーム,アンチパターン,経験主義的な見積りと計画,相対見積もりによって得られたベロシティの数値自体を、生産性の指標にしており、数値的なコミットメントや改善が要求されている。
49,TEAM-7-1,チーム,メトリクスの計測,ふりかえり習慣,ふりかえりのテーマごとに数字を集めたり計測するなどして、ファクトベースで議論できるようにしているか。
50,TEAM-7-2,チーム,学習と改善,ふりかえり習慣,チームのメンバーは、チームで合意した1カ月以内のサイクルでふりかえりを実施しているか。
51,TEAM-7-3,チーム,プラクティス,ふりかえり習慣,ふりかえりの場はチーム全員が参加しているか。
52,TEAM-7-4,チーム,プラクティス,ふりかえり習慣,ふりかえりはテーマを定め、議論を行い次回のふりかえりまでに実行可能なタスクが切り出されているか
53,TEAM-7-5,チーム,プラクティス,ふりかえり習慣,ふりかえりにおいて前回のふりかえりで改善するために起案したタスクが実行されたか検証しているか
54,TEAM-7-6,チーム,アンチパターン,ふりかえり習慣,ふりかえりをしていたが、しばしば意見が出なかったため、ふりかえり自体をやめた。
55,TEAM-7-73/25,チーム,アンチパターン,ふりかえり習慣,ふりかえるべきテーマに関しての、起きた出来事を時系列に事実関係を整理するなどの準備をせずにふりかえりをすすめている。
56,TEAM-7-8,チーム,アンチパターン,ふりかえり習慣,ふりかえりに適切なファシリテーターがいない。
57,TEAM-8-1,チーム,メトリクスの計測,バリューストリーム最適化,チームのリードタイム、フロー効率性および各工程のサイクルタイムを継続的に計測しているか。(またはエンジニアリングインテリジェンスのサービスを利用している)
58,TEAM-8-2,チーム,学習と改善,バリューストリーム最適化,チームのバリューストリームマッピングを作成し、繰り返しボトルネックを把握しながら自動化と学習を繰り返しているか。
59,TEAM-8-3,チーム,プラクティス,バリューストリーム最適化,バリューストリーム改善のために、開発リソースの10%以上を継続的に確保しているか。
60,TEAM-8-4,チーム,プラクティス,バリューストリーム最適化,設定ファイルや一部のソースコードに対して、エンジニアでなくても必要に応じて修正のためのPull Request(Merge Request)を投げることがあるか。
61,TEAM-8-5,チーム,プラクティス,バリューストリーム最適化,ペアプログラミング/モブプログラミングを実施しているか。
62,TEAM-8-6,チーム,アンチパターン,バリューストリーム最適化,属人的なタスクがある状態を効率的だと解釈して改善をしない。
63,TEAM-8-7,チーム,アンチパターン,バリューストリーム最適化,フロー効率性などの数値指標に囚われすぎて、全体の効率が悪化するなど価値提供に結びつかない状態である。
64,TEAM-8-8,チーム,アンチパターン,バリューストリーム最適化,数値改善のために簡単で予測可能な仕事ばかりを引き受け、難しめのタスクを引き受けない。
65,SYSTEM-1-1,システム,メトリクスの計測,バージョン管理,バージョン管理システムの履歴情報(Code Churn)の分析をもとにバグ予測や品質上の問題を指摘するツールを導入し、継続的に改善しているか。
66,SYSTEM-1-2,システム,学習と改善,バージョン管理,明文化されたブランチ戦略が存在するか。そして、それは守られているか。
67,SYSTEM-1-3,システム,プラクティス,バージョン管理,すべてのアプリケーションコードをGit/GitHubなどのバージョン管理システムで自社管理しているか。（権利を有する全てのソースコードについて、自社がアカウントを管理する統一のバージョン管理システムで扱っているか）
68,SYSTEM-1-4,システム,プラクティス,バージョン管理,インフラ構成とシステム要素のプロビジョニングをソースコードとして実行可能な形式にした上で、バージョン管理システムで管理しているか。（Infrastructure as Code）
69,SYSTEM-1-5,システム,プラクティス,バージョン管理,統合テスト/デプロイメントの自動化に関わるソースコードをアプリケーションコードと同一のバージョン管理システムで管理しているか。
70,SYSTEM-1-6,システム,アンチパターン,バージョン管理,ソースコード自体のセキュリティレベルを高く設定しており、開発支援系SaaSの利用を禁止している。
71,SYSTEM-1-7,システム,アンチパターン,バージョン管理,バージョン管理システムが複数存在していたり、１つのツールからすべての履歴を閲覧できないなど、中途半端な状態のままになっていないか。
72,SYSTEM-1-8,システム,アンチパターン,バージョン管理,システムのソースコードの閲覧を関連するエンジニアのみに限定している。（別チームのエンジニアや他のステークホルダーが閲覧できない。）
73,SYSTEM-2-1,システム,メトリクスの計測,ソースコードの明確さ,アプリケーションコードの循環的複雑度などのメトリクスを、ツール/サービスを用いて継続的に計測しているか。
74,SYSTEM-2-2,システム,学習と改善,ソースコードの明確さ,デッドコードを四半期以上のサイクルで定期的に棚卸しし、削除や分解をしているか。
75,SYSTEM-2-3,システム,プラクティス,ソースコードの明確さ,コードレビューをする習慣や規則があり、本番用ブランチ(master / mainなど)へのマージはコードレビューを必須としているか。
76,SYSTEM-2-4,システム,プラクティス,ソースコードの明確さ,明文化されているコードレビューガイドラインが存在するか。
77,SYSTEM-2-5,システム,プラクティス,ソースコードの明確さ,コードレビューガイドラインを満たさないコードを自動的に検出・補正する各種Linterやフォーマッタなどのツール群を整備しており、ソースコードを変更する誰もが使うことができるか。
78,SYSTEM-2-6,システム,アンチパターン,ソースコードの明確さ,コードレビューをできる人物がチームの中におらず、レビュー待ちに1、2営業日がかかる。
79,SYSTEM-2-7,システム,アンチパターン,ソースコードの明確さ,コードレビューガイドラインは１年以上メンテナンスされておらず、形骸化している。
80,SYSTEM-2-8,システム,アンチパターン,ソースコードの明確さ,コードレビューガイドラインの多くの項目が、自動的なフォーマッタなどで統一・解決可能な些末な事柄である。
81,SYSTEM-3-1,システム,メトリクスの計測,継続的インテグレーション,すべてのインテグレーションテストにかかる時間が計測されており、それは30分以内に完了するか。
82,SYSTEM-3-2,システム,学習と改善,継続的インテグレーション,テストカバレッジ基準や自動テストガイドラインを用意し、これらを継続的に改善するための工数がチームで割かれているか。
83,SYSTEM-3-3,システム,プラクティス,継続的インテグレーション,プロダクトの半分以上のモジュール/クラスファイルに対して、ユニットテストが存在しているか。
84,SYSTEM-3-4,システム,プラクティス,継続的インテグレーション,テスト用データやスタブ/モックなどを整備し、テストを書きやすくするための環境整備をしているか。
85,SYSTEM-3-5,システム,プラクティス,継続的インテグレーション,継続的インテグレーション環境が存在し、開発者は開発ブランチの全テストをリソース調整することなく、自由に行うことができるか。
86,SYSTEM-3-6,システム,アンチパターン,継続的インテグレーション,一部の人だけがテストを書き、一部の人はテストを書かないといったように自動テストを個々人の努力目標などになっている。
87,SYSTEM-3-7,システム,アンチパターン,継続的インテグレーション,テスト自体が複雑になって、長期間メンテナンスされていない。
88,SYSTEM-3-8,システム,アンチパターン,継続的インテグレーション,自動テストが失敗したまま、そのコードが本番デプロイされることを許容している。
89,SYSTEM-4-1,システム,メトリクスの計測,継続的デプロイ,デプロイ頻度とデプロイ成功率を継続的に測定しており、これらを改善することを目標管理しているか。
90,SYSTEM-4-2,システム,学習と改善,継続的デプロイ,デプロイ時に社内のユーザーや開発者のみを対象もしくは、一部のサーバのみにサービスをリリースしてエラーがないかを確かめるカナリアリリースができるか。
91,SYSTEM-4-3,システム,プラクティス,継続的デプロイ,デプロイ完了時、および構成変更時にインフラ構成に関する自動的なテスト(e2eのスモークテストおよびServerspecなどのインフラ環境テスト)を実行しているか。
92,SYSTEM-4-4,システム,プラクティス,継続的デプロイ,ブルーグリーンデプロイメントができるか。（稼働中のサーバーを切り替えるのではなく、別環境にデプロイ作業をしてから本番の向き先を切り替えるデプロイ手法。）
93,SYSTEM-4-5,システム,プラクティス,継続的デプロイ,デプロイ作業を伴わず、一部の機能を安全にオフにしたり、オンにしたりできるか。( Feature Toggle /Soft Launch/ Dark launchなどの仕組みを導入・実装しているか。)
94,SYSTEM-4-6,システム,アンチパターン,継続的デプロイ,デプロイされたコードに問題が発生した際に、前のバージョンへの切り戻しを意思決定してから5分以内に切り戻すことができない。
95,SYSTEM-4-7,システム,アンチパターン,継続的デプロイ,開発者のメンバー自身が、権限を持つ人物の承認があっても、自分のコードを本番環境にデプロイできない。
96,SYSTEM-4-8,システム,アンチパターン,継続的デプロイ,デプロイ工程が自動化されておらず、本番反映に1時間以上かかっていたり、特定の時間帯しかできないなどの制約事項がかかっている。
97,SYSTEM-5-1,システム,メトリクスの計測,API駆動開発,社内外のAPIの利用者にとってのユーザビリティについてヒアリング/アンケートを行い継続的な改善が行われているか。
98,SYSTEM-5-2,システム,学習と改善,API駆動開発,各APIについて、動作するインタラクティブなドキュメントや管理サービスを持っているか。
99,SYSTEM-5-3,システム,プラクティス,API駆動開発,プロダクトに対して外部あるいは内部の別のシステムと連携するためのAPIが提供されているか。
100,SYSTEM-5-4,システム,プラクティス,API駆動開発,APIは何らかのSchema定義言語によって規定され、そこから自動的にクライアントの生成やバリデータの生成が行われているか。
101,SYSTEM-5-5,システム,プラクティス,API駆動開発,APIに関わる要件は、SDD(スキーマ駆動開発)で開発され、直ちにモックアップサーバーが提供できるか。
102,SYSTEM-5-6,システム,アンチパターン,API駆動開発,ViewやControllerの層に処理が集中しており、機能をAPIに切り出すことが困難な設計になっている。
103,SYSTEM-5-7,システム,アンチパターン,API駆動開発,各APIに対して、ネットワークを経由したE2E(ステージング・本番どちらに対するE2Eテストかは問わない)のテストが存在しておらず、死活監視ができていない。
104,SYSTEM-5-8,システム,アンチパターン,API駆動開発,APIがバージョン管理されておらず、破壊的な変更が利用者から検知できない。
105,SYSTEM-6-1,システム,メトリクスの計測,疎結合アーキテクチャ,目指すべきアーキテクチャに対してそぐわない点を洗い出すための仕組みが存在しており、それらの情報をもとに改善を進めているか。（アーキテクチャ適応度関数）
106,SYSTEM-6-2,システム,学習と改善,疎結合アーキテクチャ,システムアーキテクチャの決定・変更・改善に関するドキュメントを管理し継続的な学習機会を設けているか。
107,SYSTEM-6-3,システム,プラクティス,疎結合アーキテクチャ,ドメインイベントの発火に伴いPublish/Subscribeモデルを利用した仕組みで、関連サービスとの連携が可能か。またその履歴データが保存管理され、これらのイベントリプレイから再突合や監査の自動化が可能か。
108,SYSTEM-6-4,システム,プラクティス,疎結合アーキテクチャ,結果整合性を考慮したサービスレベルの合意が要件のガイドラインの中に組み込まれているか。
109,SYSTEM-6-5,システム,プラクティス,疎結合アーキテクチャ,バッチ、ジョブ、プロシージャに対する冪等な設計ガイドラインが存在しており、再送によって整合性が担保できるようなシステムになっているか。
110,SYSTEM-6-6,システム,アンチパターン,疎結合アーキテクチャ,１つのデータベースに対して複数のシステムからの直接的な参照または書き込みがなされていて、それらの依存性が簡単には追跡できない状況になっている。
111,SYSTEM-6-7,システム,アンチパターン,疎結合アーキテクチャ,疎結合なシステムであるが、分散トレーシングの仕組みがなく、問題発生時の原因特定に時間がかかる。
112,SYSTEM-6-8,システム,アンチパターン,疎結合アーキテクチャ,自動テストとスキーマ定義の存在しない外部システムとの依存関係が１０ケース以上存在しており、機能開発の影響範囲を特定できない。
